run_id,experiment_id,phase,architecture,energy_kwh,co2_kg,elapsed_seconds,value_precision
legacy-c19dbfabe741d7fcde04,08_ldm_v3_sdvae_fromscratch_sampling_st25_2058ec8ae46d,validation,,2.023755588831868e-05,6.692924008272977e-06,0.14408375099992554,measured
legacy-af9c38c209c5766f794a,08_ldm_v3_sdvae_fromscratch_sampling_st25_2058ec8ae46d,validation,,4.1447320605216107e-05,1.370737497591586e-05,0.49834221799983425,measured
legacy-016cdca4de9c570bc2e1,08_ldm_v3_sdvae_fromscratch_sampling_st50_fee56a99e979,validation,,0.0001089907804274468,3.604521292140435e-05,5.817543639000178,measured
legacy-8310d035dfd3e3440620,08_ldm_v3_sdvae_fromscratch_sampling_st50_fee56a99e979,validation,,2.0221147645737062e-05,6.68749750710287e-06,0.14572768499965605,measured
legacy-086643ef0cdd93dd9316,08_ldm_v3_sdvae_fromscratch_sampling_st50_fee56a99e979,validation,,2.021902158954717e-05,6.6867943820518615e-06,0.46520105799936573,measured
legacy-13258a04f9e73f1b7c00,08_ldm_v3_sdvae_fromscratch_sampling_st75_ece830e86b27,validation,,0.00011463326629136613,3.7911284561348026e-05,5.619484992999787,measured
legacy-96a67a8c7f94f6115c27,08_ldm_v3_sdvae_fromscratch_sampling_st75_ece830e86b27,validation,,2.0218612091552057e-05,6.6866589536939135e-06,0.14360396299980493,measured
legacy-854e34d94c819ee9cef5,08_ldm_v3_sdvae_fromscratch_sampling_st75_ece830e86b27,validation,,2.0221927066692658e-05,6.687755275642463e-06,0.4758578179998949,measured
legacy-8a59cd47fcf292abe895,01_rsna_512_gray_mlo,preprocessing,,2.2601916718524603e-05,7.47486069331702e-06,24.089116118000675,measured
legacy-9af5ba3e40e690d4914a,02_data_augmentation,preprocessing,,2.2311160194211314e-05,7.378702277109177e-06,24.45505314699949,measured
